"","response_id","grna_target","n_nonzero_trt","n_nonzero_cntrl","pass_qc","p_value","fold_change","se_fold_change","log_2_fold_change","significant"
"1","TPI1","TCEB2",528,1832,TRUE,1e-250,1.41031293740266,0.0449373598088254,0.496015320883662,TRUE
"2","BNIP3","TCEB2",212,407,TRUE,5.63194729500137e-37,2.40622794596315,0.187310912841222,1.26677331788123,TRUE
"3","PGK1","TCEB2",458,1524,TRUE,5.24766975832531e-33,1.43483234788293,0.0571776483132112,0.520882175919799,TRUE
"4","ENO1","TCEB2",523,1803,TRUE,1.80229710246637e-31,1.29375431261442,0.0369220475110805,0.371563671715004,TRUE
"5","GAPDH","TCEB2",541,1887,TRUE,2.1868295506416e-31,1.21920921062604,0.0249563672579826,0.285945706954958,TRUE
"6","TMSB10","TCEB2",541,1887,TRUE,5.81261262874971e-18,1.13060786163438,0.0204751002455382,0.177098633860344,TRUE
"7","LDHA","TCEB2",488,1656,TRUE,2.82979968875431e-17,1.28555094477209,0.0425063650458732,0.362386783500018,TRUE
"8","MT3","TCEB2",64,29,TRUE,2.29471269655857e-15,3.39619591534181,0.519125980786207,1.76391968561046,TRUE
"9","LTB","LCP2",360,1369,TRUE,1.14374023395963e-12,1.47757665593729,0.0908598328762084,0.563232978640934,TRUE
"10","SLC16A3","TCEB2",169,395,TRUE,1.18656279278797e-12,1.68254035421418,0.131044356978229,0.75064110699102,TRUE
"11","PKM","TCEB2",516,1790,TRUE,2.7688540569244e-12,1.15760329053238,0.030017383632022,0.211140927904874,TRUE
"12","XCL1","CBLB",338,618,TRUE,1.05465786465388e-10,1.51150054470088,0.108808264434082,0.59598149887109,TRUE
"13","HILPDA","TCEB2",135,278,TRUE,2.07825345382481e-10,1.77838152902061,0.179139541176233,0.830564869149634,TRUE
"14","TMSB4X","CBLB",774,1887,TRUE,1.10980948374045e-09,0.952899175034491,0.00830493454005364,-0.0696045222767112,TRUE
"15","CD7","TCEB2",478,1726,TRUE,1.49063555500979e-09,0.817340541742158,0.0303305886521954,-0.290990798009992,TRUE
"16","IL7R","LCP2",136,389,TRUE,1.91455927929642e-09,1.60857115203745,0.142069727850215,0.685779752230174,TRUE
"17","B2M","LCP2",440,1887,TRUE,3.02291433661858e-09,1.07097271397457,0.0140896186931217,0.0989217238649762,TRUE
"18","XCL2","CBLB",142,176,TRUE,4.67996731671985e-09,1.93061011999719,0.271611604129147,0.949056846454275,TRUE
"19","ANKZF1","TCEB2",126,242,TRUE,9.18633982067305e-09,1.5739065484233,0.129464202145115,0.654349882567917,TRUE
"20","MT-CO3","LCP2",440,1887,TRUE,1.70037909055743e-08,0.930972363470509,0.0169156812110764,-0.103189753822775,TRUE
"21","ALDOC","TCEB2",152,379,TRUE,2.0841107357383e-08,1.49967727771445,0.120178365365237,0.584652074098797,TRUE
"22","AC078883.3","TCEB2",48,50,TRUE,5.13718275850284e-08,2.18824983049956,0.311545444397962,1.1297774587187,TRUE
"23","TNFRSF9","CBLB",84,112,TRUE,6.63183783559996e-08,1.82914310284528,0.301279962540337,0.871167948618105,TRUE
"24","PTPN7","RASA2",435,1438,TRUE,1.54111091952923e-07,1.17113729492406,0.0416580530910156,0.227910215971721,TRUE
"25","FABP5","CBLB",575,1372,TRUE,1.99923020912823e-07,1.19292756370465,0.0444005576650529,0.254506443153152,TRUE
"26","IL7R","CD3D",117,389,TRUE,2.21720947366628e-07,1.5750642289485,0.1558924364218,0.655410660927557,TRUE
"27","STAT1","ARID1A",229,1048,TRUE,2.98612837043904e-07,1.36159307678289,0.0898176160990068,0.445295606563378,TRUE
"28","SLIRP","CBLB",524,1152,TRUE,4.31158221741329e-07,1.15639842816467,0.0399728413965055,0.209638552944745,TRUE
"29","LAIR2","RASA2",62,100,TRUE,4.49306780231001e-07,2.01979035794824,0.329556452268127,1.0142055577077,TRUE
"30","PDLIM2","RASA2",152,380,TRUE,5.1286552499819e-07,1.415659220106,0.111387780304453,0.50147401921134,TRUE
"31","DUSP6","RASA2",95,175,TRUE,5.60712949913061e-07,1.60777781246162,0.167792065000524,0.685068046437272,TRUE
"32","IL16","RASA2",317,975,TRUE,5.74633875562308e-07,1.25692422957669,0.0674060205150646,0.329897683243911,TRUE
"33","NRN1","TCEB2",25,13,TRUE,6.40322856769817e-07,3.35733188829763,0.808011086024117,1.74731516138275,TRUE
"34","PTPN7","CD5",521,1438,TRUE,8.76971125419396e-07,1.13863606959713,0.0382984983455536,0.187306707111747,TRUE
"35","HVCN1","CD5",152,285,TRUE,1.44971919960606e-06,1.40105339275856,0.106372889763314,0.48651193649694,TRUE
"36","PRKCDBP","CBLB",185,331,TRUE,1.49367928050763e-06,1.43869661868818,0.142096680744018,0.524762399681531,TRUE
"37","LGALS1","TCEB2",521,1818,TRUE,1.59867497402388e-06,1.15224522996592,0.0360838557649119,0.204447795256461,TRUE
"38","PGAM1","CBLB",688,1646,TRUE,2.07769139651355e-06,1.09392998645389,0.0276471832790198,0.129520405929325,TRUE
"39","NME1","CBLB",498,1135,TRUE,2.41038531318616e-06,1.13448149392301,0.0397715063928102,0.182033075433117,TRUE
"40","CISH","TCEB2",108,214,TRUE,2.65916944934394e-06,1.54984701592826,0.154166764079101,0.632125815335451,TRUE
"41","MT-ND2","CBLB",770,1872,TRUE,3.02114257242597e-06,1.08044212734652,0.0188352868297292,0.111621797948248,TRUE
"42","CTSW","ARID1A",194,1312,TRUE,3.0640415360536e-06,0.741525012714936,0.0555459955538419,-0.431432737189009,TRUE
"43","CYCS","CBLB",539,1344,TRUE,3.27112661457395e-06,1.1369729439305,0.0363477108634867,0.185197923428288,TRUE
"44","FTL","CD5",651,1887,TRUE,3.50289235228075e-06,0.9205526482952,0.0191385292914752,-0.119427860262391,TRUE
"45","XCL1","CD5",295,618,TRUE,3.68808016033622e-06,1.36217755922578,0.0965603376830658,0.44591477025039,TRUE
"46","BATF3","CBLB",347,717,TRUE,5.88638023885414e-06,1.18544602046114,0.0651371417689625,0.245429970887363,TRUE
"47","HOPX","ARID1A",255,1504,TRUE,6.63917239094648e-06,0.776637332351409,0.0467230476128848,-0.364687036747671,TRUE
"48","CD74","ARID1A",349,1865,TRUE,6.85697717369062e-06,1.16633092025546,0.0408159275349833,0.221977178998857,TRUE
"49","PKM","LCP2",395,1790,TRUE,7.0110531197546e-06,0.905520941362945,0.0272804354911359,-0.143180089105489,TRUE
"50","GZMA","ARID1A",117,785,TRUE,7.04900856444545e-06,0.575407572792753,0.0847155038115409,-0.797343886742629,TRUE
"51","RPS15A","CD5",651,1887,TRUE,7.05873427054636e-06,1.05036165666676,0.0132990627993014,0.0708861568857236,TRUE
"52","DDIT4","TCEB2",286,795,TRUE,7.55656276174967e-06,1.28169864922614,0.0740834219435375,0.358057097859379,TRUE
"53","PGAM1","TCEB2",495,1646,TRUE,8.57830201739468e-06,1.10499242461077,0.0285627491198266,0.144036479106363,TRUE
"54","CHN1","ARID1A",36,78,TRUE,9.11827276417841e-06,2.20951132884834,0.40167875655691,1.14372732825782,TRUE
"55","TXNIP","TCEB2",279,792,TRUE,9.40526353185376e-06,1.2496590737233,0.0696486871853736,0.321534559099278,TRUE
"56","IGFBP2","TCEB2",21,16,TRUE,1.05372611743814e-05,2.78995407917492,0.69270688922596,1.48024137643015,TRUE
"57","HSP90AB1","CD5",607,1717,TRUE,1.15750568024252e-05,1.13435787130166,0.039045578491209,0.181875858711933,TRUE
"58","DUSP4","RASA2",299,880,TRUE,1.54402967992275e-05,1.19949495702694,0.0644919882717166,0.26242709219782,TRUE
"59","RAN","CBLB",717,1780,TRUE,1.74317263073756e-05,1.07395642696182,0.0220471229773235,0.102935460845372,TRUE
"60","GSTK1","LCP2",326,1315,TRUE,1.86229747115752e-05,1.18879943148682,0.0494350519326642,0.249505331057,TRUE
"61","TRAC","ARID1A",352,1876,TRUE,2.01327729540532e-05,0.876490577432599,0.0276491382929627,-0.19018951327429,TRUE
"62","CAV1","CBLB",44,30,TRUE,2.07861598754646e-05,2.37776476881132,0.473186387149816,1.2496059969778,TRUE
"63","TMSB10","CD3D",393,1887,TRUE,2.52535815170161e-05,0.951302303270024,0.0172336118362886,-0.0720242237020441,TRUE
"64","AES","LCP2",352,1475,TRUE,2.87105387451208e-05,1.14705501939977,0.0435858015401846,0.197934593020254,TRUE
"65","TRAF4","CBLB",244,470,TRUE,3.2149949602761e-05,1.24855254271909,0.07933647263964,0.320256535343211,TRUE
"66","PRF1","ARID1A",83,655,TRUE,3.23845338816558e-05,0.66203839983728,0.0728870677399216,-0.595013195606926,TRUE
"67","B2M","CBLB",774,1887,TRUE,4.42688257998973e-05,0.953922771227861,0.0114424143418884,-0.068055623286128,TRUE
"68","VIM","TCEB2",521,1766,TRUE,4.67527622944325e-05,1.11964798133689,0.0363652184717346,0.163045218527159,TRUE
"69","PPP1R14B","CBLB",387,818,TRUE,4.7060059017607e-05,1.14734082686196,0.0502042154428549,0.198294019237976,TRUE
"70","SRGN","LCP2",373,1734,TRUE,6.01884699014095e-05,0.877214945168622,0.0317610539833366,-0.18899770337633,TRUE
"71","GNLY","RASA2",205,769,TRUE,6.25068917680174e-05,0.521318574136787,0.0805227429728619,-0.939762832042154,TRUE
"72","XCL2","CD5",96,176,TRUE,6.54905131415347e-05,1.65432575899058,0.233405041106953,0.72624334853906,TRUE
"73","CD74","CBLB",753,1865,TRUE,6.58319308674986e-05,0.905724158533699,0.0233083453798278,-0.142856355552569,TRUE
"74","DAAM1","LCP2",44,329,TRUE,7.79894475342602e-05,0.588621238803366,0.0837530555136921,-0.764588495926278,TRUE
"75","HSPB1","CD5",320,802,TRUE,8.27835736202635e-05,1.20298607707091,0.0667363323605415,0.266619945376006,TRUE
"76","TNFRSF9","CD5",64,112,TRUE,8.33725829296253e-05,1.51960000300102,0.214192558917971,0.603691619964711,TRUE
"77","RPS15A","BTLA",779,1887,TRUE,8.93480132964009e-05,1.03735662361066,0.0116872751603976,0.0529119507248019,TRUE
"78","FAM214A","HAVCR2",42,215,TRUE,9.25907199865622e-05,0.613392526848364,0.0913156677276591,-0.705117504977052,TRUE
"79","GIMAP1","CBLB",222,650,TRUE,9.37286066170228e-05,0.805176759823115,0.0503841302572701,-0.312622563179291,TRUE
"80","NPW","CBLB",46,54,TRUE,9.78359247583623e-05,1.78959525183076,0.348579593806315,0.839633333744076,TRUE
"81","PRKCDBP","CD5",158,331,TRUE,0.00010260880184063,1.36863057234638,0.14864741135009,0.452733079635596,TRUE
"82","GNLY","DGKA",505,769,TRUE,0.000105479911559942,0.752522786091685,0.0676834585824488,-0.410192828119642,TRUE
"83","KDSR","LCP2",115,395,TRUE,0.000110901133211048,1.35856537809122,0.117314783903175,0.442083993884109,TRUE
"84","S100A4","DGKZ",534,1872,TRUE,0.00011294169469042,0.914185716334362,0.0221138285704932,-0.129440817112081,TRUE
"85","NOSIP","CD3D",285,1273,TRUE,0.000117863870316441,1.19813307234141,0.0637956338347708,0.260788151987477,TRUE
"86","TPT1","LCP2",440,1886,TRUE,0.000129098327552693,1.05206295675933,0.0166759146919419,0.0732210398838355,TRUE
"87","CDK6","MEF2D",239,675,TRUE,0.000129493574035872,1.22213041943463,0.0709132645037529,0.28939825032172,TRUE
"88","ISG20","LCP2",238,905,TRUE,0.000131986492431693,1.2272182609937,0.072657457633213,0.295391855398921,TRUE
"89","SYNE2","CBLB",441,1180,TRUE,0.000133057412451834,0.880523085153943,0.0367284145911193,-0.183567266412342,TRUE
"90","TCTN3","LCP2",125,692,TRUE,0.000136665567920855,0.727126587989409,0.0644807618611008,-0.459721545093972,TRUE
"91","ID3","CD5",120,228,TRUE,0.000136770207172764,1.49453088393049,0.168531084549978,0.579692710085922,TRUE
"92","RPS2","TCEB2",541,1887,TRUE,0.000137447426560301,0.951482153612633,0.0144164576160798,-0.0717514979109343,TRUE
"93","PRKCDBP","TCEB2",125,331,TRUE,0.000139893307967571,1.39327118404858,0.14396767112439,0.478476089098409,TRUE
"94","TMEM154","HAVCR2",94,156,TRUE,0.00014171080165599,1.39436841601601,0.133810681734077,0.479611796310937,TRUE
"95","BID","LCP2",49,120,TRUE,0.000145063795186149,1.68356080078708,0.240045208297211,0.75151582417124,TRUE
"96","TRAV1-1","CD3D",8,10,TRUE,0.000149684892635295,3.94070254397849,1.48971195541425,1.97845285464626,TRUE
"97","N4BP2L2","CD3D",284,1277,TRUE,0.000150831496102568,1.167067117516,0.0517546915593697,0.222887532187605,TRUE
"98","HEATR5B","TMEM222",11,82,TRUE,0.000152034895416188,0.429132695603966,0.127988953108369,-1.22050427073249,TRUE
"99","LTB","CD3D",305,1369,TRUE,0.000153844943279935,1.27132001466135,0.0850841790386286,0.346327228968319,TRUE
"100","SET","CBLB",684,1642,TRUE,0.000153889871452778,1.09672920939991,0.0283774927702691,0.133207357572142,TRUE
"101","SNHG15","CBLB",319,654,TRUE,0.000162906691430288,1.20407003077663,0.076319158088964,0.267919304154073,TRUE
"102","SGF29","STAT6",18,242,TRUE,0.00016389241540379,0.474069140093364,0.107964155993425,-1.07683061214432,TRUE
"103","ACTB","CDKN1B",436,1887,TRUE,0.000165238479281135,1.07021057104876,0.0182597026636916,0.0978946844016598,TRUE
"104","PRF1","DGKZ",148,655,TRUE,0.000166584411856865,0.7646306633395,0.0606120655626036,-0.387165038370561,TRUE
"105","NPC2","CBLB",445,1197,TRUE,0.000171152824908055,0.876377771323957,0.0366359160098733,-0.190375202991215,TRUE
"106","SLC16A3","CDKN1B",59,395,TRUE,0.000172078571419395,0.652541498872405,0.0839747289458506,-0.615858441000035,TRUE
"107","LINC01281","CBLB",55,72,TRUE,0.000174365895552489,1.60902435750813,0.231921717450537,0.686186165831528,TRUE
"108","LPIN2","ARID1A",136,551,TRUE,0.000177300664010887,1.30631648050718,0.0946619057196226,0.38550446008918,TRUE
"109","YPEL3","DGKZ",183,772,TRUE,0.000177313081723645,0.801268680474862,0.0534509429334792,-0.319642008317558,TRUE
"110","ZNF350","RASA2",58,115,TRUE,0.000178438913221821,1.54227657159204,0.201120621345645,0.6250615024032,TRUE
"111","GZMB","CBLB",520,1125,TRUE,0.000179256244847926,1.26564668686758,0.105287801891444,0.339874723689166,TRUE
"112","UBN2","CD5",33,170,TRUE,0.000182073128663827,0.600653623680046,0.101366341950182,-0.735394816855639,TRUE
"113","FYB","CD3D",339,1584,TRUE,0.000189595743359634,1.1427208746129,0.0459874084897712,0.192473048356072,TRUE
"114","DHRS3","CD5",196,463,TRUE,0.000190277153547953,1.25328590768731,0.0933117235935948,0.325715569129463,TRUE
"115","CCND2","LCP2",193,754,TRUE,0.000195632602040129,1.29259103014136,0.0848213343254985,0.370265885266725,TRUE
"116","ZNF121","CBLB",87,128,TRUE,0.000196187779683508,1.39067560745191,0.143260104864708,0.475785932389451,TRUE
"117","PKM","CD3D",351,1790,TRUE,0.000201546681535542,0.924973286193845,0.0306511259351137,-0.112516394590505,TRUE
"118","AC017002.1","RASA2",60,337,TRUE,0.0002021474158734,0.609200886710354,0.0852042054808241,-0.715010053174271,TRUE
"119","FAM43A","TCEB2",54,111,TRUE,0.000207729678471478,1.67192166695753,0.249325489041802,0.741507255708714,TRUE
"120","HSPE1","CBLB",639,1527,TRUE,0.000213167938449467,1.10627668928096,0.0322217875284829,0.145712261097387,TRUE
"121","VIM","CBLB",719,1766,TRUE,0.000213553738475443,0.896824642064839,0.0281723400036438,-0.157102175245006,TRUE
"122","CPNE7","RASA2",36,56,TRUE,0.000215003830233611,1.82656257135081,0.30253182324153,0.869131176000133,TRUE
"123","S100A4","BTLA",771,1872,TRUE,0.000215013644406412,0.940378225870951,0.0187852097138024,-0.0886869606089747,TRUE
"124","MT2A","LCP2",381,1726,TRUE,0.000216116353157894,0.859243106432576,0.0366225322212357,-0.218861722750577,TRUE
"125","CTD-2020K17.1","CBLB",170,312,TRUE,0.000224095761358412,1.27287030218037,0.0995840774262409,0.348085424790104,FALSE
"126","GNLY","BTLA",322,769,TRUE,0.000228500820908823,0.626259354998526,0.0724482741620686,-0.67516784558682,FALSE
"127","MT-ATP6","CBLB",774,1887,TRUE,0.000235045856231767,1.04765451674169,0.0158957623858992,0.0671630401986836,FALSE
"128","CDKN1B","MEF2D",172,753,TRUE,0.000240888300987341,0.808977255094765,0.0581979731473808,-0.305828953941968,FALSE
"129","SRM","CBLB",503,1159,TRUE,0.000241258109353459,1.13295840235153,0.0411767905948421,0.180094892206211,FALSE
"130","KLRC1","TCEB2",20,153,TRUE,0.000256789981836592,0.326894429068896,0.0839551279243384,-1.61310330396499,FALSE
"131","HOPX","CD3D",291,1504,TRUE,0.00026317879489966,0.839969086622548,0.0425480718585034,-0.251591861516224,FALSE
"132","GTF2IRD2","CBLB",31,144,TRUE,0.000267546949834543,0.587801088332243,0.104530379929477,-0.7666000647003,FALSE
"133","CD82","CD5",429,1108,TRUE,0.000267788842169047,1.12845186556992,0.0446485811858436,0.174344881281531,FALSE
"134","FBXO36","ARID1A",14,19,TRUE,0.000269348882326226,2.66599926387567,0.689457249141804,1.41467638207615,FALSE
"135","IER5L","TNFRSF9",15,18,TRUE,0.000270294149295542,2.57385756093142,0.647631383934162,1.36393221602018,FALSE
"136","REL","CBLB",266,601,TRUE,0.000273338394309471,1.2173894826755,0.0887930876456645,0.283790807188067,FALSE
"137","TMED4","LCP2",82,524,TRUE,0.00028291864743353,0.720919229217888,0.0749354262777201,-0.472090463901642,FALSE
"138","SATB1","LCP2",134,455,TRUE,0.000305430685461285,1.29738463159155,0.106026602523339,0.375606254320474,FALSE
"139","CCND2","MEF2D",260,754,TRUE,0.000308365054690365,1.20347314418749,0.0696361132434357,0.267203948060999,FALSE
"140","DUSP4","PDCD1",414,880,TRUE,0.000314371161145644,1.16676738924854,0.0560873461046098,0.222516969076803,FALSE
"141","CTNNB1","CBLB",194,386,TRUE,0.000318984050560369,1.23460184504057,0.0869811532108666,0.304045852498881,FALSE
"142","PDE4DIP","CBLB",105,349,TRUE,0.0003200197233343,0.749778444745623,0.0699035236874991,-0.415463744462214,FALSE
"143","GPR146","TCEB2",16,14,TRUE,0.000322157672378188,2.28294309127683,0.563168113899299,1.1908948968136,FALSE
"144","LTB","CD5",435,1369,TRUE,0.000329195319764927,0.806579169265756,0.0540206379071979,-0.31011194774146,FALSE
"145","MGEA5","RASA2",242,708,TRUE,0.000347549985423089,1.19536175668251,0.0656171340238021,0.257447292340714,FALSE
"146","ZNF189","CDKN1B",31,68,TRUE,0.000349594873444711,1.73517636018952,0.309500242604054,0.795082303172582,FALSE
"147","HNRNPAB","CBLB",491,1129,TRUE,0.000352765804077665,1.10561973419345,0.0371950251775166,0.144855271715199,FALSE
"148","MT-CO3","DGKA",1262,1887,TRUE,0.00035598301450697,1.02792909177893,0.00984547781524715,0.0397407485131232,FALSE
"149","CAMK1","CD5",183,453,TRUE,0.000356445513970004,1.23256436721059,0.0922565050193693,0.301662989265038,FALSE
"150","HCST","ARID1A",276,1564,TRUE,0.00035822757961697,0.863765366880389,0.0391555290729469,-0.211288622787423,FALSE
"151","CFAP36","PDCD1",229,394,TRUE,0.000362607572065391,1.20837435822934,0.0711625507834255,0.273067475434809,FALSE
"152","HLA-DPB1","CBLB",509,1360,TRUE,0.000365734019503993,0.852025371972231,0.0399457494530641,-0.231031702612887,FALSE
"153","MORC2","SOCS1",9,100,TRUE,0.000372290692875317,0.396975365088325,0.130309649150927,-1.33287861338222,FALSE
"154","RILPL2","CBLB",424,980,TRUE,0.00038353236518598,1.14154568164815,0.0514641428128748,0.190988593569233,FALSE
"155","CD27","CBLB",641,1560,TRUE,0.000384631245940497,1.10850982572134,0.0361671897126965,0.148621558167889,FALSE
"156","TNFSF10","TCEB2",232,720,TRUE,0.000385703902434573,1.23233323253375,0.0847082082308439,0.301392424797724,FALSE
"157","AHSA2","LAG3",26,199,TRUE,0.000389190883824081,0.557903603590429,0.105980900866504,-0.841912224868553,FALSE
"158","HAPLN3","ARID1A",68,236,TRUE,0.000396681170390702,1.52157635925276,0.176540944499426,0.605566736317847,FALSE
"159","FTL","LCP2",440,1887,TRUE,0.000408687025738709,1.07120300681481,0.0237355333862519,0.0992319153554472,FALSE
"160","FCMR","LCP2",112,335,TRUE,0.0004117243599159,1.35245331696433,0.124892831979958,0.435578796975274,FALSE
"161","ARID3A","TCEB2",70,138,TRUE,0.000416314797867084,1.45450885582778,0.167020332502515,0.540532080363914,FALSE
"162","AQP3","CD3D",105,316,TRUE,0.00041799115767604,1.39206739603246,0.135851368728589,0.477229060014272,FALSE
"163","GLIPR2","LCP2",57,138,TRUE,0.000443198084263828,1.5838041097567,0.196973050769802,0.663393909054565,FALSE
"164","IRF1","ARID1A",178,780,TRUE,0.000448959412731353,1.25550709937897,0.0862017956076674,0.328270186482667,FALSE
"165","MT-CO1","TCEB2",541,1887,TRUE,0.000456370018410942,0.956761515041871,0.0127627776061531,-0.0637687354254361,FALSE
"166","NT5E","DGKA",27,83,TRUE,0.000463956939573795,0.607635194977758,0.11743704217177,-0.718722659956262,FALSE
"167","ZNF302","HAVCR2",109,218,TRUE,0.000473828220770156,1.33774225658622,0.122842622543264,0.419800178038886,FALSE
"168","S100A4","CBLB",772,1872,TRUE,0.000477020834186144,0.933348979591576,0.0189972068468973,-0.0995114886330848,FALSE
"169","FAM65B","RASA2",213,925,TRUE,0.000482032100225574,0.826436835723481,0.0518637465969057,-0.275023535830512,FALSE
"170","TAGAP","CD5",121,292,TRUE,0.000482849280633478,1.37231033902536,0.159277655075008,0.45660677447288,FALSE
"171","GS1-124K5.3","MEF2D",15,14,TRUE,0.000492374043006377,2.3851963376221,0.621189358401309,1.25410802667328,FALSE
"172","CCL5","ARID1A",325,1755,TRUE,0.00049354703676948,0.79549583498087,0.0570097820685863,-0.330073717905111,FALSE
"173","PTPN7","CBLB",583,1438,TRUE,0.000499070278761108,1.09625938081359,0.0343030123588735,0.132589188024939,FALSE
"174","NELL2","BTLA",371,763,TRUE,0.000500160187956698,1.14786014581322,0.0532749098026724,0.198946876131402,FALSE
"175","ISG20","CBLB",318,905,TRUE,0.000506160528972323,0.857128219269003,0.0448406296462815,-0.222417059199514,FALSE
"176","MT-CO3","CD3D",393,1887,TRUE,0.000508792927994073,0.958820209292276,0.0177890354796936,-0.0606677775372768,FALSE
"177","SRGN","CD5",609,1734,TRUE,0.000516206543649923,1.09531646776108,0.0372312179316455,0.131347765265446,FALSE
"178","FAM3C","RASA2",249,726,TRUE,0.000521456128279457,1.17306530235619,0.0637999277634202,0.230283327742462,FALSE
"179","GNLY","HAVCR2",277,769,TRUE,0.000538331699577507,0.653368564365779,0.0862097624170392,-0.614031051076485,FALSE
"180","ZMYM5","TMEM222",95,352,TRUE,0.000545688218238374,0.748034338561108,0.0735193587461498,-0.418823596252079,FALSE
"181","HVCN1","CBLB",155,285,TRUE,0.000557111815246051,1.27724674188227,0.102573971574826,0.353037255583928,FALSE
"182","CCND2","CBLB",347,754,TRUE,0.000567645274832853,1.15290810951501,0.0604869636509369,0.205277530136266,FALSE
"183","IL10RA","C10orf54",165,399,TRUE,0.000576546681124191,1.25565914788835,0.0889890763550289,0.328444893856953,FALSE
"184","CD70","CD3D",134,841,TRUE,0.000585527462132116,0.739987494139249,0.0680923214998194,-0.434427205626509,FALSE
"185","PPM1K","TCEB2",120,513,TRUE,0.00058978465256212,0.773126277961124,0.0647971298790814,-0.371224020052483,FALSE
"186","H2AFV","TCEB2",472,1682,TRUE,0.000596590735767358,0.913856257441414,0.0250786720225024,-0.129960836589751,FALSE
"187","GIMAP2","HAVCR2",131,477,TRUE,0.000599563462998864,0.782486523533572,0.0665578537895428,-0.353862189613618,FALSE
"188","CLSPN","HAVCR2",287,728,TRUE,0.00060912424334439,1.16566776720392,0.0600976640374964,0.221156657401027,FALSE
"189","CRTAM","CBLB",98,183,TRUE,0.000609600256575067,1.39223565647755,0.176397157015421,0.477403429330704,FALSE
"190","ISG20","CD5",261,905,TRUE,0.000616610981019648,0.83814815383659,0.051530355433397,-0.25472281287985,FALSE
"191","DPP4","RASA2",104,452,TRUE,0.000622937623897647,0.748785298345333,0.0698961867011765,-0.417375985570342,FALSE
"192","GIMAP4","CBLB",415,1160,TRUE,0.000635287202950263,0.882196200945362,0.042610762220839,-0.180828547208408,FALSE
"193","SLIRP","TNFRSF9",276,1152,TRUE,0.000641306070297898,1.18420923423135,0.0582488045886095,0.243924008770014,FALSE
"194","CFLAR","CD5",384,1011,TRUE,0.000642949885116688,1.14551772656521,0.0498447793906322,0.195999784116041,FALSE
"195","CD82","LCP2",198,1108,TRUE,0.000650051235227609,0.834588941283129,0.0530488354066965,-0.26086229058331,FALSE
"196","CCL1","CBLB",73,100,TRUE,0.000675180174595178,1.96985036029163,0.515699821171365,0.978086039496468,FALSE
"197","AC093818.1","TCEB2",25,37,TRUE,0.000675395980454583,1.89101565680591,0.395555881998722,0.919161308238879,FALSE
"198","PYHIN1","ARID1A",43,344,TRUE,0.000706547790679753,0.614641345222708,0.0921076361161941,-0.702183278588567,FALSE
"199","DCTPP1","CBLB",420,930,TRUE,0.00070703841807861,1.11442704044175,0.0458849241341268,0.156302169008303,FALSE
"200","PPP1R14B","HAVCR2",329,818,TRUE,0.00070862595424777,1.1541033612788,0.0522827118498433,0.206772437264693,FALSE
"201","RPRD2","LAG3",64,174,TRUE,0.000747388924594313,1.46490314854038,0.177455116059732,0.550805284620631,FALSE
"202","WHAMM","CD3D",85,290,TRUE,0.000751726384806168,1.39644927874263,0.144119206074929,0.481763173592532,FALSE
"203","BTN3A3","STAT6",8,148,TRUE,0.000754126987933777,0.362553950336338,0.126613981288837,-1.46373240157686,FALSE
"204","ZC3H12D","TCEB2",72,351,TRUE,0.000770086373691057,0.71725995514971,0.0804926597323811,-0.479432007989,FALSE
"205","GZMA","DGKZ",194,785,TRUE,0.000804249563127257,0.735966595895774,0.073169283567442,-0.442287808264266,FALSE
"206","LINC01480","CD5",129,255,TRUE,0.000811811636035316,1.32826060307855,0.120090613349414,0.409538229428927,FALSE
"207","GPRIN3","LCP2",124,712,TRUE,0.00083487437799692,0.77399930818675,0.0613748769041125,-0.369595818021541,FALSE
"208","IKZF3","TCEB2",125,546,TRUE,0.000843576587323907,0.779529261831754,0.0648704987028599,-0.359324915316192,FALSE
"209","CAMK1","CBLB",222,453,TRUE,0.000863507768209588,1.2342902168552,0.0788631166896484,0.303681653150554,FALSE
"210","DUSP2","CBLB",103,176,TRUE,0.000866544936529157,1.37759622652406,0.197742468377445,0.462153096059883,FALSE
"211","LY9","C10orf54",23,145,TRUE,0.00087253202665754,0.559709070261121,0.116518017011345,-0.837250967638502,FALSE
"212","MT-ND4","LCP2",439,1887,TRUE,0.000878114050734475,0.968466813716893,0.0193941417153097,-0.0462254817907518,FALSE
"213","ISG15","BTLA",405,1086,TRUE,0.000881481064320747,0.87002335511926,0.0391420764297135,-0.200873965348431,FALSE
"214","RAMP1","CD3D",23,207,TRUE,0.000888569144771187,0.522076557726094,0.114757048615115,-0.937666714618672,FALSE
"215","IER3","CD5",256,568,TRUE,0.000892761528660368,1.26440700346944,0.0831502882091407,0.338460931372648,FALSE
"216","PLAC8","TCEB2",166,487,TRUE,0.000897369762308705,1.2974902052648,0.112351424096753,0.375723647739818,FALSE
"217","PTPN4","TCEB2",110,470,TRUE,0.000921302301130593,0.767311142099522,0.0676311490256043,-0.382116390508074,FALSE
"218","BCL2","DGKZ",117,320,TRUE,0.000941514500812649,1.30328016694809,0.113928915468882,0.382147254296252,FALSE
"219","ENTPD1","CD3D",153,938,TRUE,0.000946062945510303,0.817558218884933,0.067748313974991,-0.290606625309132,FALSE
"220","CXCR6","BTLA",24,108,TRUE,0.000972139647538145,0.51696196413298,0.10826077450972,-0.95186995781984,FALSE
